ons_id,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000839,Con hold,Con,LD,76765,56107,263,24301,35705,6737,11404,0,2261,0,0,0,0,0,0,0,0,0
N06000013,Alliance gain from Ind,Alliance,DUP,67099,40643,172,2968,1959,0,0,0,0,0,0,15390,0,0,4936,18358,0,0
E14000840,Lab hold,Lab,Con,66796,42195,107,4742,13897,18639,2879,4693,1126,0,0,0,0,0,0,0,961,0
E14000841,Con hold,Con,Lab,90678,65018,200,24283,38443,14160,7999,0,1891,0,0,0,0,0,0,0,2525,0
E14000842,Con hold,Con,Lab,83699,52964,239,29993,38423,8430,4298,0,1813,0,0,0,0,0,0,0,0,0
E14000843,Con hold,Con,Lab,72345,49217,173,12876,28897,16021,3021,0,1278,0,0,0,0,0,0,0,0,0
S14000049,LD gain from SNP,LD,SNP,60905,45878,140,1316,5961,1707,19763,0,0,18447,0,0,0,0,0,0,0,0
E14000844,Con hold,Con,LD,78954,59270,174,20211,35280,5760,15069,0,1754,0,0,0,0,0,0,0,1407,0
E14000845,Con hold,Con,Lab,76123,55327,281,18189,31293,13104,8563,0,2367,0,0,0,0,0,0,0,0,0
E14000846,Con hold,Con,Lab,73692,56308,169,14729,28360,13631,12422,0,1423,0,0,0,0,0,0,0,472,0
E14000847,Con hold,Con,LD,70252,51033,276,24856,32158,6804,7302,0,4769,0,0,0,0,0,0,0,0,0
E14000848,Con gain from LD,Con,LD,70729,50823,172,14395,29792,3895,15397,1739,0,0,0,0,0,0,0,0,0,0
E14000849,Con hold,Con,Lab,83258,56513,205,22949,35444,12495,5643,0,1790,0,0,0,0,0,0,0,1141,0
E14000850,Con hold,Con,Lab,80194,62055,241,17536,32801,15265,11051,0,2938,0,0,0,0,0,0,0,0,0
E14000851,Con hold,Con,Lab,82441,55115,209,16171,32584,16413,4408,0,1710,0,0,0,0,0,0,0,0,0
E14000852,Con hold,Con,Lab,72756,48178,250,17189,30066,12877,3439,0,1796,0,0,0,0,0,0,0,0,0
E14000853,Lab hold,Lab,Con,78902,50429,160,9561,15490,25051,3241,5254,1393,0,0,0,0,0,0,0,0,0
E14000854,Con hold,Con,Lab,70271,45914,171,17956,30249,12293,2069,0,1303,0,0,0,0,0,0,0,0,0
E14000855,Con hold,Con,Lab,94909,64533,315,25983,40307,14324,6881,0,3021,0,0,0,0,0,0,0,0,0
E14000856,Con gain from Lab,Con,Lab,72166,47663,128,1144,19990,18846,2831,3193,1173,0,0,0,0,0,0,0,1630,0
E14000857,Con hold,Con,LD,83083,58918,270,26308,36591,9327,10283,0,2717,0,0,0,0,0,0,0,0,0
E14000858,Con hold,Con,Lab,78935,53821,211,20400,33811,13411,3614,0,2478,0,0,0,0,0,0,0,507,0
E14000859,Con hold,Con,Lab,72080,46602,200,19922,30627,10705,3625,0,1645,0,0,0,0,0,0,0,0,0
E14000860,Con hold,Con,LD,73280,54758,216,17626,32373,5699,14747,0,1939,0,0,0,0,0,0,0,0,0
E14000863,Con hold,Con,Lab,67172,46285,127,4738,23397,18659,2663,0,1078,0,0,0,0,0,0,0,488,0
E14000864,Lab hold,Lab,Con,77845,51673,197,12760,15006,27766,4776,1656,2469,0,0,0,0,0,0,0,0,0
E14000865,Lab hold,Lab,Con,66262,40004,141,17393,8342,25735,1954,1343,1183,0,0,0,0,0,0,0,1447,0
E14000866,Lab hold,Lab,Con,66495,35320,103,4490,12847,17337,1582,2686,868,0,0,0,0,0,0,0,0,0
E14000867,Lab hold,Lab,Con,79485,48134,181,12568,14018,26586,3935,2012,1583,0,0,0,0,0,0,0,0,0
E14000868,Con hold,Con,Lab,70226,45190,215,13144,27390,14246,1862,0,1692,0,0,0,0,0,0,0,0,0
S14000050,SNP gain from Con,SNP,Con,78776,57813,131,4498,22384,4961,3204,0,0,26882,0,0,0,0,0,0,382,0
W07000074,Lab hold,Lab,Con,57581,35390,96,7805,9797,17602,1460,2991,621,0,2919,0,0,0,0,0,0,0
E14000869,Con hold,Con,Lab,66104,46145,239,18952,29786,10834,3822,0,1477,0,0,0,0,0,0,0,226,0
E14000870,Lab hold,Lab,Con,72120,46164,123,1499,18589,20088,2423,2980,778,0,0,0,0,0,0,0,1306,0
