,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
33,1964,18.0,-0.1,16.419999999999995,1116.6,410.0999999999999,38.0,Nairn
34,1965,17.2,-0.7,14.958333333333336,1130.8999999999999,672.3,71.0,Nairn
35,1966,16.0,-1.4,11.0375,563.1,424.79999999999995,74.0,Nairn
36,1967,19.2,2.1,17.566666666666666,1287.3000000000002,603.9000000000001,27.0,Nairn
37,1968,17.1,-1.8,15.391666666666666,1174.1,680.7,72.0,Nairn
38,1969,20.0,-2.5,16.581818181818182,1184.1999999999998,442.9,69.0,Nairn
39,1970,18.4,-1.9,15.366666666666667,1209.1,700.9,70.0,Nairn
40,1971,18.0,1.3,17.558333333333334,1324.3,509.49999999999994,45.0,Nairn
41,1972,17.7,-0.5,17.018181818181816,1311.8999999999999,313.2,47.0,Nairn
42,1973,18.3,0.6,17.8,1100.0,549.4,44.0,Nairn
43,1974,18.0,0.9,16.308333333333334,1289.7,570.9,46.0,Nairn
44,1975,19.5,-0.3,16.941666666666666,1389.6000000000001,530.2,58.0,Nairn
45,1976,19.9,-2.0,17.125,1363.6,459.8,65.0,Nairn
46,1977,17.8,-1.5,15.758333333333335,1355.3,571.9,59.0,Nairn
47,1978,16.2,-3.8,15.508333333333331,1191.6,642.2,69.0,Nairn
48,1979,17.9,-3.7,14.649999999999999,1321.8,588.8,85.0,Nairn
49,1980,17.6,-0.2,16.416666666666668,1101.0,770.4000000000001,62.0,Nairn
50,1981,18.7,-3.5,15.924999999999999,1355.1000000000001,567.7,75.0,Nairn
51,1982,19.7,-0.9,16.441666666666666,1360.8000000000002,579.1,52.0,Nairn
52,1983,19.7,-1.7,17.025000000000002,1165.7,476.5,47.0,Nairn
53,1984,19.8,-2.5,16.84166666666667,1208.9,532.8,47.0,Nairn
54,1985,17.9,-1.4,15.091666666666667,1116.5000000000002,590.6,70.0,Nairn
55,1986,17.8,-2.7,15.558333333333335,1291.5000000000002,502.6,54.0,Nairn
56,1987,17.6,-1.2,15.549999999999999,1117.3999999999999,612.8000000000001,65.0,Nairn
57,1988,17.9,0.3,17.441666666666663,1265.0,698.1,42.0,Nairn
58,1989,20.2,-1.8,17.60833333333333,1479.0,527.8,51.0,Nairn
59,1990,18.8,1.6,17.924999999999997,1308.1,794.6,25.0,Nairn
60,1991,19.7,-1.0,17.033333333333335,1261.2000000000003,501.79999999999995,48.0,Nairn
61,1992,17.7,0.1,16.775,1196.6,610.3,57.0,Nairn
62,1993,16.7,-0.7,15.883333333333335,1025.3,616.0,53.0,Nairn
63,1994,19.5,-1.2,16.741666666666664,1391.0,663.5,47.0,Nairn
64,1995,20.1,-1.8,17.358333333333338,1439.8,633.9999999999999,51.0,Nairn
65,1996,14.2,-0.3,11.6625,665.6,308.29999999999995,49.0,Nairn
66,1997,21.0,0.1,18.716666666666672,1264.9,715.6999999999999,38.0,Nairn
67,1998,17.1,0.8,14.722222222222221,777.6999999999999,514.6,44.0,Nairn
68,1999,19.1,0.2,17.9,1259.8000000000002,649.4,41.0,Nairn
69,2000,18.7,1.3,17.299999999999997,1112.5,671.3000000000001,39.0,Nairn
70,2001,18.2,-1.5,16.825000000000003,1187.1999999999998,591.9,72.0,Nairn
71,2002,18.4,1.5,18.216666666666665,1241.3000000000002,740.6999999999999,41.0,Nairn
72,2003,20.8,-0.9,18.733333333333334,1550.4,471.9,71.0,Nairn
73,2004,19.1,0.6,18.375,1248.6,780.8000000000001,46.0,Nairn
74,2005,18.7,1.4,18.466666666666665,1251.6999999999998,634.0,41.0,Nairn
75,2006,22.0,0.4,17.7,989.0,572.9,30.0,Nairn
76,2007,17.5,1.8,19.454545454545457,1173.3,663.4,21.0,Nairn
77,2008,19.3,-0.3,19.05,1105.4,550.1,34.0,Nairn
78,2009,17.6,-2.8,16.599999999999998,855.5999999999999,454.6,39.0,Nairn
79,2010,17.8,-1.4,14.087500000000002,864.3999999999999,445.79999999999995,50.0,Nairn
80,2011,18.1,0.3,16.71428571428571,800.1,407.8,29.0,Nairn
81,2012,19.1,0.0,19.2,673.3,375.50000000000006,21.0,Nairn
82,2013,10.5,-0.5,9.966666666666667,277.8,132.6,32.0,Nairn
