,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station,TmeanTr,TmaxTr,TminTr,SunTr,RainTr,AFTr
0,1930,7.4,2.0,9.4,30.5,83.8,7.0,Ross-on-Wye,18.443077965132645,20.59624417099301,-0.6710182763312602,1361.2751335882904,654.1798144625423,49.87835704566777
1,1931,19.0,-0.5,18.391666666666666,1308.8,778.0000000000001,55.0,Ross-on-Wye,18.485790907529704,20.62335136527563,-0.6492980422462651,1363.2745041215867,655.3103426069033,49.71683410613093
2,1932,22.2,0.1,18.966666666666665,1335.5,786.8999999999999,51.0,Ross-on-Wye,18.528503849926764,20.650458559558253,-0.62757780816127,1365.273874654883,656.4408707512648,49.555311166594095
3,1933,23.4,-1.2,19.458333333333332,1722.8000000000002,587.7,78.0,Ross-on-Wye,18.571216792323824,20.677565753840874,-0.6058575740762748,1367.2732451881793,657.5713988956259,49.3937882270572
4,1934,24.8,-0.8,20.325,1555.2,568.6,50.0,Ross-on-Wye,18.613929734720884,20.704672948123488,-0.5841373399912797,1369.2726157214756,658.7019270399869,49.23226528752036
5,1935,23.0,1.3,20.075,1572.1,736.8,36.0,Ross-on-Wye,18.656642677117944,20.73178014240611,-0.5624171059062917,1371.271986254772,659.8324551843484,49.070742347983526
6,1936,21.3,-1.3,18.71666666666667,1265.2,841.8000000000001,49.0,Ross-on-Wye,18.699355619515003,20.75888733668873,-0.5406968718212966,1373.2713567880683,660.9629833287095,48.90921940844669
7,1937,22.3,0.2,19.108333333333334,1350.1999999999998,770.5000000000001,46.0,Ross-on-Wye,18.742068561912063,20.78599453097135,-0.5189766377363014,1375.2707273213646,662.093511473071,48.74769646890985
8,1938,20.0,1.9,20.466666666666665,1441.3,569.0,32.0,Ross-on-Wye,18.784781504309123,20.813101725253965,-0.4972564036513063,1377.270097854661,663.224039617432,48.58617352937296
9,1939,21.1,0.4,19.433333333333334,1436.3,701.5999999999999,32.0,Ross-on-Wye,18.827494446706197,20.840208919536586,-0.4755361695663112,1379.2694683879572,664.3545677617931,48.42465058983612
10,1940,22.3,-5.3,18.35,1573.6,734.8,69.0,Ross-on-Wye,18.870207389103257,20.867316113819207,-0.45381593548131605,1381.2688389212535,665.4850959061546,48.26312765029928
11,1941,22.3,-1.5,18.5,1358.0000000000002,707.9,58.0,Ross-on-Wye,18.912920331500317,20.89442330810183,-0.4320957013963209,1383.2682094545498,666.6156240505156,48.101604710762444
12,1942,20.4,-2.8,18.591666666666665,1428.2,608.3,61.0,Ross-on-Wye,18.955633273897377,20.921530502384442,-0.4103754673113258,1385.2675799878466,667.7461521948767,47.94008177122555
13,1943,22.0,1.0,20.458333333333332,1557.4000000000003,645.8,39.0,Ross-on-Wye,18.998346216294436,20.948637696667063,-0.38865523322633067,1387.266950521143,668.8766803392382,47.77855883168871
14,1944,22.1,0.5,19.558333333333334,1370.4,563.7,44.0,Ross-on-Wye,19.041059158691496,20.975744890949684,-0.36693499914133554,1389.2663210544392,670.0072084835992,47.617035892151875
15,1945,20.8,-2.0,21.016666666666666,1335.1999999999998,662.0,43.0,Ross-on-Wye,19.083772101088556,21.002852085232306,-0.3452147650563404,1391.2656915877355,671.1377366279607,47.45551295261504
16,1946,20.9,-0.1,19.48333333333333,1307.5,785.0999999999999,49.0,Ross-on-Wye,19.126485043485616,21.02995927951492,-0.3234945309713453,1393.2650621210319,672.2682647723218,47.2939900130782
17,1947,24.5,-4.3,19.483333333333334,1394.0,709.9,69.0,Ross-on-Wye,19.16919798588269,21.05706647379754,-0.30177429688635726,1395.2644326543282,673.3987929166829,47.13246707354131
18,1948,20.5,2.4,20.791666666666668,1626.1999999999996,783.0999999999999,32.0,Ross-on-Wye,19.21191092827975,21.08417366808016,-0.28005406280136214,1397.2638031876245,674.5293210610444,46.97094413400447
19,1949,23.7,1.8,22.075000000000003,1751.6,578.0,34.0,Ross-on-Wye,19.25462387067681,21.111280862362783,-0.258333828716367,1399.2631737209208,675.6598492054054,46.80942119446763
20,1950,21.1,-0.7,19.45,1474.4000000000003,721.8000000000001,50.0,Ross-on-Wye,19.29733681307387,21.138388056645397,-0.23661359463137188,1401.2625442542171,676.7903773497665,46.647898254930794
21,1951,21.6,1.3,19.208333333333332,1412.8,882.5,33.0,Ross-on-Wye,19.34004975547093,21.165495250928018,-0.21489336054637675,1403.2619147875134,677.920905494128,46.4863753153939
22,1952,21.5,-0.2,18.84166666666667,1561.4,716.8,55.0,Ross-on-Wye,19.38276269786799,21.19260244521064,-0.19317312646138163,1405.2612853208097,679.051433638489,46.32485237585706
23,1953,20.9,0.2,19.900000000000002,1464.8999999999999,583.3,44.0,Ross-on-Wye,19.42547564026505,21.21970963949326,-0.1714528923763865,1407.260655854106,680.1819617828505,46.163329436320225
24,1954,18.6,0.2,19.333333333333332,1335.3,801.5,36.0,Ross-on-Wye,19.46818858266211,21.246816833775874,-0.14973265829139137,1409.2600263874024,681.3124899272116,46.00180649678339
25,1955,23.6,-1.1,19.216666666666665,1617.3,683.0,75.0,Ross-on-Wye,19.510901525059168,21.273924028058495,-0.12801242420639625,1411.2593969206987,682.4430180715726,45.84028355724655
26,1956,20.5,-3.4,18.458333333333332,1441.9,672.5,64.0,Ross-on-Wye,19.553614467456242,21.301031222341116,-0.10629219012140112,1413.2587674539955,683.5735462159341,45.678760617709656
27,1957,22.0,1.1,20.81666666666667,1455.1000000000001,572.4,33.0,Ross-on-Wye,19.596327409853302,21.328138416623737,-0.08457195603640599,1415.2581379872918,684.7040743602952,45.51723767817282
28,1958,20.7,0.7,19.691666666666666,1256.8999999999999,878.7,49.0,Ross-on-Wye,19.639040352250362,21.35524561090635,-0.06285172195141087,1417.257508520588,685.8346025046562,45.35571473863598
29,1959,22.5,-0.5,21.391666666666666,1687.7,768.4,38.0,Ross-on-Wye,19.68175329464742,21.382352805188972,-0.041131487866422844,1419.2568790538844,686.9651306490177,45.194191799099144
30,1960,21.5,1.8,20.133333333333333,1340.7000000000003,995.8,33.0,Ross-on-Wye,19.72446623704448,21.409459999471594,-0.019411253781427718,1421.2562495871807,688.0956587933788,45.03266885956225
31,1961,20.4,-0.1,20.408333333333335,1482.8000000000002,630.8,38.0,Ross-on-Wye,19.76717917944154,21.436567193754215,0.0023089803035674095,1423.255620120477,689.2261869377403,44.87114592002541
32,1962,19.4,-1.5,17.64166666666667,1409.0,544.9999999999999,64.0,Ross-on-Wye,19.8098921218386,21.46367438803683,0.024029214388562536,1425.2549906537733,690.3567150821013,44.709622980488575
33,1963,19.7,-6.7,16.96666666666667,1303.8,679.8000000000001,77.0,Ross-on-Wye,19.85260506423566,21.49078158231945,0.04574944847355766,1427.2543611870697,691.4872432264624,44.54810004095174
34,1964,20.8,0.1,19.158333333333335,1296.1000000000001,471.0,54.0,Ross-on-Wye,19.89531800663272,21.51788877660207,0.06746968255855279,1429.253731720366,692.6177713708239,44.3865771014149
35,1965,19.9,0.4,18.474999999999998,1333.6,745.4000000000001,58.0,Ross-on-Wye,19.938030949029795,21.544995970884692,0.08918991664354792,1431.2531022536623,693.748299515185,44.225054161878006
36,1966,20.1,1.0,19.666666666666668,1299.1000000000001,736.1,34.0,Ross-on-Wye,19.980743891426854,21.572103165167306,0.11091015072854304,1433.2524727869586,694.878827659546,44.06353122234117
37,1967,21.9,1.5,20.133333333333333,1492.6,786.8,41.0,Ross-on-Wye,20.023456833823914,21.599210359449927,0.13263038481353817,1435.251843320255,696.0093558039075,43.90200828280433
38,1968,19.8,-0.7,19.25,1275.0,824.2,54.0,Ross-on-Wye,20.066169776220974,21.626317553732548,0.1543506188985333,1437.2512138535512,697.1398839482686,43.740485343267494
39,1969,22.3,-1.4,19.14166666666667,1475.1999999999998,659.0,59.0,Ross-on-Wye,20.108882718618034,21.65342474801517,0.17607085298352843,1439.2505843868475,698.2704120926296,43.5789624037306
40,1970,21.3,0.5,19.783333333333335,1406.1999999999998,798.7,55.0,Ross-on-Wye,20.151595661015094,21.680531942297783,0.19779108706852355,1441.2499549201443,699.4009402369911,43.41743946419376
41,1971,23.0,1.3,20.11666666666667,1474.8000000000002,679.3999999999999,36.0,Ross-on-Wye,20.194308603412154,21.707639136580404,0.21951132115351157,1443.2493254534406,700.5314683813522,43.255916524656925
42,1972,20.6,2.0,19.058333333333334,1243.9,721.4,27.0,Ross-on-Wye,20.237021545809213,21.734746330863025,0.2412315552385067,1445.248695986737,701.6619965257137,43.09439358512009
43,1973,21.9,1.5,20.025,1484.6000000000004,478.70000000000005,50.0,Ross-on-Wye,20.279734488206273,21.761853525145646,0.26295178932350183,1447.2480665200333,702.7925246700747,42.93287064558325
44,1974,20.2,2.3,19.963636363636365,1305.4,719.4,17.0,Ross-on-Wye,20.322447430603347,21.78896071942826,0.28467202340849695,1449.2474370533296,703.9230528144358,42.771347706046356
45,1985,21.1,4.3,26.54,766.7,372.0,6.0,Ross-on-Wye,20.79228979697102,22.08713985653708,0.5235945983434362,1471.2405129195895,716.3588624024092,40.99459537114103
46,1986,21.2,-3.5,18.083333333333336,1567.3,768.5,59.0,Ross-on-Wye,20.83500273936808,22.114247050819692,0.5453148324284314,1473.2398834528858,717.4893905467707,40.833072431604194
47,1987,21.4,-1.6,19.14166666666667,1445.6,658.7,61.0,Ross-on-Wye,20.87771568176514,22.141354245102313,0.5670350665134265,1475.2392539861821,718.6199186911317,40.6715494920673
48,1988,19.9,0.6,20.458333333333332,1505.6,582.1,34.0,Ross-on-Wye,20.9204286241622,22.168461439384934,0.5887553005984216,1477.2386245194784,719.7504468354932,40.51002655253046
49,1989,25.0,2.8,22.918181818181818,1705.6,676.3,24.0,Ross-on-Wye,20.96314156655926,22.195568633667556,0.6104755346834168,1479.2379950527747,720.8809749798543,40.348503612993625
50,1990,24.0,1.8,22.474999999999998,1755.8,658.5000000000001,29.0,Ross-on-Wye,21.00585450895632,22.22267582795017,0.6321957687684119,1481.237365586071,722.0115031242153,40.18698067345679
51,1991,22.8,-1.4,20.066666666666666,1424.4,677.0000000000001,48.0,Ross-on-Wye,21.048567451353392,22.24978302223279,0.653916002853407,1483.2367361193674,723.1420312685768,40.02545773391995
52,1992,22.4,1.4,20.775,1439.1999999999998,718.8,42.0,Ross-on-Wye,21.091280393750452,22.27689021651541,0.6756362369384021,1485.2361066526637,724.2725594129379,39.863934794383056
53,1993,20.9,2.1,19.708333333333332,1441.5999999999997,748.9999999999999,42.0,Ross-on-Wye,21.133993336147512,22.303997410798033,0.6973564710233973,1487.23547718596,725.4030875572989,39.70241185484622
54,1994,24.2,0.7,21.633333333333336,1578.7000000000003,750.2,23.0,Ross-on-Wye,21.17670627854457,22.331104605080647,0.7190767051083924,1489.2348477192563,726.5336157016604,39.54088891530938
55,1995,26.7,-0.2,21.925,1855.0000000000002,679.5000000000001,45.0,Ross-on-Wye,21.21941922094163,22.358211799363268,0.7407969391933804,1491.2342182525526,727.6641438460215,39.379365975772544
