,Year,Tmax,Tmin,Tmean,Sun,Rain,AF,Station
75,1970,22.4,1.5,21.65833333333333,1698.8999999999999,784.2,42.0,Southampton
76,1971,23.3,2.1,21.833333333333332,1734.3,672.4,29.0,Southampton
77,1972,21.6,2.8,21.124999999999996,1577.3999999999999,761.5,15.0,Southampton
78,1973,21.6,1.6,20.9,1426.5,411.3,34.0,Southampton
79,1974,20.5,3.7,21.900000000000002,1664.1000000000001,987.3,4.0,Southampton
80,1975,24.5,2.4,22.624999999999996,1825.1,691.0000000000001,25.0,Southampton
81,1976,25.5,0.7,22.73333333333333,1878.1000000000001,678.6,34.0,Southampton
82,1977,22.1,1.8,22.345454545454547,1476.9999999999998,675.7,23.0,Southampton
83,1978,20.3,1.2,21.224999999999998,1524.8,754.0,38.0,Southampton
84,1979,22.4,-1.9,19.941666666666666,1633.5,802.5,46.0,Southampton
85,1980,21.0,0.1,21.091666666666665,1634.3999999999999,705.6,31.0,Southampton
86,1981,22.8,0.0,21.263636363636365,1270.3999999999999,763.1999999999999,36.0,Southampton
87,1982,22.7,2.1,22.508333333333336,1616.8,861.3999999999999,24.0,Southampton
88,1983,26.4,0.7,23.37272727272727,1463.0000000000002,577.3000000000001,33.0,Southampton
89,1984,23.1,2.4,22.258333333333336,1697.0000000000002,804.2,20.0,Southampton
90,1985,21.7,-1.4,20.083333333333332,1662.0,649.6,60.0,Southampton
91,1986,21.2,-2.1,19.941666666666666,1570.8,816.3,43.0,Southampton
92,1987,21.8,-0.5,21.033333333333328,1578.3,749.1999999999999,43.0,Southampton
93,1988,20.3,2.5,20.939999999999998,1391.9,519.2,21.0,Southampton
94,1989,25.2,3.7,24.175,1933.8999999999999,675.3,17.0,Southampton
95,1990,24.5,2.8,23.916666666666668,1926.2,661.1999999999999,10.0,Southampton
96,1991,23.3,-0.6,21.508333333333336,1494.1000000000001,661.5999999999999,31.0,Southampton
