COL1,,,Voting Intention,,,,,,,,,,,Gender,,Age,,Age,,,,,,,,,,,Region,,,,,,,,,,,,Educational quals,,,,,,,Voting Likelihood,,,,,,Voted 2019,,,2019 Vote,,,,,,,,,,,EU Referendum Voter,,,,,EU Referendum Vote,,Future EU Referendum Vote,,,
COL,,Total,Conservative,Labour,Liberal Democrats,SNP,Plaid Cymru,Reform,Green,Other,Independent,Don't Know,Would not vote,Male,Female, Under 40, 40+,18-24,25-34,35-44,45-54,55-64,65-74,75+,Gen X (42-58),Xoomers (46-49),Xennials (40-45),Millennials (27-41),Wales,South East,East,East Midlands,North West,Scotland,South West,London,West Midlands,Yorkshire and The Humber,North East,England,No formal qualifications,GCSE/GCE/O-Level,A-level,Apprenticeship,Undergraduate,Postgraduate,Other,Very likely,Fairly likely,Neither nor,Fairly unlikely,Very unlikely,Don't know,Yes,No,DK/Can't remember,Conservative,Labour,Liberal Democrats,SNP,Plaid Cymru,Reform,Green,Other,Independent,Don't Know,Would not vote,Yes,No,DK/Can't remember,Not eligible,Too Young,Leave,Remain,Stay out,Rejoin,Not vote,Don't know
,Don’t know,25,15,13,17,11,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,South East,East,East Midlands,North West,Scotland,South West,London,West Midlands,Yorkshire and The Humber,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stay out of the EU,19,67,26,14,50,24,26,43,44,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rejoin the EU,26,64,66,46,65,68,42,83,53,35,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I would not vote this time,3,19,8,13,8,5,13,23,14,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don’t know,4,25,18,20,11,12,12,15,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leave,Remain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stay out of the EU,288,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rejoin the EU,66,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I would not vote this time,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don’t know,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
